Gene stable ID	Gene name	Gene description	Gene type	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand
ENSG00000069974	RAB27A	RAB27A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9766]	protein_coding	15	55202966	55319113	-1
ENSG00000069998	HDHD5	haloacid dehalogenase like hydrolase domain containing 5 [Source:HGNC Symbol;Acc:HGNC:1843]	protein_coding	22	17137511	17165287	-1
ENSG00000070010	UFD1	ubiquitin recognition factor in ER associated degradation 1 [Source:HGNC Symbol;Acc:HGNC:12520]	protein_coding	22	19449910	19479215	-1
ENSG00000070018	LRP6	LDL receptor related protein 6 [Source:HGNC Symbol;Acc:HGNC:6698]	protein_coding	12	12116025	12267012	-1
ENSG00000070047	PHRF1	PHD and ring finger domains 1 [Source:HGNC Symbol;Acc:HGNC:24351]	protein_coding	11	576486	612222	1
ENSG00000070061	ELP1	elongator complex protein 1 [Source:HGNC Symbol;Acc:HGNC:5959]	protein_coding	9	108867517	108934116	-1
ENSG00000070081	NUCB2	nucleobindin 2 [Source:HGNC Symbol;Acc:HGNC:8044]	protein_coding	11	17208153	17349980	1
ENSG00000070087	PFN2	profilin 2 [Source:HGNC Symbol;Acc:HGNC:8882]	protein_coding	3	149964904	150050788	-1
ENSG00000070159	PTPN3	protein tyrosine phosphatase, non-receptor type 3 [Source:HGNC Symbol;Acc:HGNC:9655]	protein_coding	9	109375466	109498313	-1
ENSG00000070193	FGF10	fibroblast growth factor 10 [Source:HGNC Symbol;Acc:HGNC:3666]	protein_coding	5	44303544	44389706	-1
ENSG00000070214	SLC44A1	solute carrier family 44 member 1 [Source:HGNC Symbol;Acc:HGNC:18798]	protein_coding	9	105244622	105439171	1
ENSG00000070269	TMEM260	transmembrane protein 260 [Source:HGNC Symbol;Acc:HGNC:20185]	protein_coding	14	56488354	56650606	1
ENSG00000070366	SMG6	SMG6, nonsense mediated mRNA decay factor [Source:HGNC Symbol;Acc:HGNC:17809]	protein_coding	17	2059839	2303771	-1
ENSG00000070367	EXOC5	exocyst complex component 5 [Source:HGNC Symbol;Acc:HGNC:10696]	protein_coding	14	57200507	57269008	-1
ENSG00000070371	CLTCL1	clathrin heavy chain like 1 [Source:HGNC Symbol;Acc:HGNC:2093]	protein_coding	22	19179473	19291716	-1
ENSG00000070404	FSTL3	follistatin like 3 [Source:HGNC Symbol;Acc:HGNC:3973]	protein_coding	19	676365	683399	1
ENSG00000070413	DGCR2	DiGeorge syndrome critical region gene 2 [Source:HGNC Symbol;Acc:HGNC:2845]	protein_coding	22	19036282	19122454	-1
ENSG00000070423	RNF126	ring finger protein 126 [Source:HGNC Symbol;Acc:HGNC:21151]	protein_coding	19	647526	663277	-1
ENSG00000070444	MNT	MAX network transcriptional repressor [Source:HGNC Symbol;Acc:HGNC:7188]	protein_coding	17	2384060	2401118	-1
ENSG00000070476	ZXDC	ZXD family zinc finger C [Source:HGNC Symbol;Acc:HGNC:28160]	protein_coding	3	126437601	126475919	-1
ENSG00000070495	JMJD6	arginine demethylase and lysine hydroxylase [Source:HGNC Symbol;Acc:HGNC:19355]	protein_coding	17	76712832	76726799	-1
ENSG00000070501	POLB	DNA polymerase beta [Source:HGNC Symbol;Acc:HGNC:9174]	protein_coding	8	42338454	42371808	1
ENSG00000070540	WIPI1	WD repeat domain, phosphoinositide interacting 1 [Source:HGNC Symbol;Acc:HGNC:25471]	protein_coding	17	68420948	68457513	-1
ENSG00000070610	GBA2	glucosylceramidase beta 2 [Source:HGNC Symbol;Acc:HGNC:18986]	protein_coding	9	35736866	35749228	-1
ENSG00000070614	NDST1	N-deacetylase and N-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:7680]	protein_coding	5	150485818	150558211	1
ENSG00000070669	ASNS	asparagine synthetase (glutamine-hydrolyzing) [Source:HGNC Symbol;Acc:HGNC:753]	protein_coding	7	97852118	97872542	-1
ENSG00000070718	AP3M2	adaptor related protein complex 3 mu 2 subunit [Source:HGNC Symbol;Acc:HGNC:570]	protein_coding	8	42152946	42171673	1
ENSG00000070756	PABPC1	poly(A) binding protein cytoplasmic 1 [Source:HGNC Symbol;Acc:HGNC:8554]	protein_coding	8	100685816	100722809	-1
ENSG00000070759	TESK2	testis-specific kinase 2 [Source:HGNC Symbol;Acc:HGNC:11732]	protein_coding	1	45343883	45491166	-1
ENSG00000070761	CFAP20	cilia and flagella associated protein 20 [Source:HGNC Symbol;Acc:HGNC:29523]	protein_coding	16	58113588	58129450	-1
ENSG00000070770	CSNK2A2	casein kinase 2 alpha 2 [Source:HGNC Symbol;Acc:HGNC:2459]	protein_coding	16	58157907	58197920	-1
ENSG00000070778	PTPN21	protein tyrosine phosphatase, non-receptor type 21 [Source:HGNC Symbol;Acc:HGNC:9651]	protein_coding	14	88465778	88554733	-1
ENSG00000070785	EIF2B3	eukaryotic translation initiation factor 2B subunit gamma [Source:HGNC Symbol;Acc:HGNC:3259]	protein_coding	1	44850522	44986722	-1
ENSG00000070808	CAMK2A	calcium/calmodulin dependent protein kinase II alpha [Source:HGNC Symbol;Acc:HGNC:1460]	protein_coding	5	150219491	150290291	-1
ENSG00000070814	TCOF1	treacle ribosome biogenesis factor 1 [Source:HGNC Symbol;Acc:HGNC:11654]	protein_coding	5	150357639	150400308	1
ENSG00000070831	CDC42	cell division cycle 42 [Source:HGNC Symbol;Acc:HGNC:1736]	protein_coding	1	22052627	22092946	1
ENSG00000070882	OSBPL3	oxysterol binding protein like 3 [Source:HGNC Symbol;Acc:HGNC:16370]	protein_coding	7	24796539	24981634	-1
ENSG00000070950	RAD18	RAD18, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:18278]	protein_coding	3	8775402	8963773	-1
ENSG00000070961	ATP2B1	ATPase plasma membrane Ca2+ transporting 1 [Source:HGNC Symbol;Acc:HGNC:814]	protein_coding	12	89588049	89709300	-1
ENSG00000071051	NCK2	NCK adaptor protein 2 [Source:HGNC Symbol;Acc:HGNC:7665]	protein_coding	2	105744897	105894274	1
ENSG00000071054	MAP4K4	mitogen-activated protein kinase kinase kinase kinase 4 [Source:HGNC Symbol;Acc:HGNC:6866]	protein_coding	2	101696850	101894689	1
ENSG00000071082	RPL31	ribosomal protein L31 [Source:HGNC Symbol;Acc:HGNC:10334]	protein_coding	2	101001715	101024032	1
ENSG00000071127	WDR1	WD repeat domain 1 [Source:HGNC Symbol;Acc:HGNC:12754]	protein_coding	4	10074339	10116949	-1
ENSG00000071189	SNX13	sorting nexin 13 [Source:HGNC Symbol;Acc:HGNC:21335]	protein_coding	7	17790761	17940501	-1
ENSG00000071205	ARHGAP10	Rho GTPase activating protein 10 [Source:HGNC Symbol;Acc:HGNC:26099]	protein_coding	4	147732063	148072780	1
ENSG00000071242	RPS6KA2	ribosomal protein S6 kinase A2 [Source:HGNC Symbol;Acc:HGNC:10431]	protein_coding	6	166409364	166906451	-1
ENSG00000071243	ING3	inhibitor of growth family member 3 [Source:HGNC Symbol;Acc:HGNC:14587]	protein_coding	7	120950749	120977216	1
ENSG00000071246	VASH1	vasohibin 1 [Source:HGNC Symbol;Acc:HGNC:19964]	protein_coding	14	76762189	76783015	1
ENSG00000071282	LMCD1	LIM and cysteine rich domains 1 [Source:HGNC Symbol;Acc:HGNC:6633]	protein_coding	3	8501707	8574673	1
ENSG00000071462	BUD23	BUD23, rRNA methyltransferase and ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:16405]	protein_coding	7	73683025	73705161	1
ENSG00000071537	SEL1L	SEL1L ERAD E3 ligase adaptor subunit [Source:HGNC Symbol;Acc:HGNC:10717]	protein_coding	14	81471549	81533861	-1
ENSG00000071539	TRIP13	thyroid hormone receptor interactor 13 [Source:HGNC Symbol;Acc:HGNC:12307]	protein_coding	5	892643	919357	1
ENSG00000071553	ATP6AP1	ATPase H+ transporting accessory protein 1 [Source:HGNC Symbol;Acc:HGNC:868]	protein_coding	X	154428632	154436516	1
ENSG00000071564	TCF3	transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:11633]	protein_coding	19	1609290	1652605	-1
ENSG00000071575	TRIB2	tribbles pseudokinase 2 [Source:HGNC Symbol;Acc:HGNC:30809]	protein_coding	2	12716889	12742734	1
ENSG00000071626	DAZAP1	DAZ associated protein 1 [Source:HGNC Symbol;Acc:HGNC:2683]	protein_coding	19	1407569	1435687	1
ENSG00000071655	MBD3	methyl-CpG binding domain protein 3 [Source:HGNC Symbol;Acc:HGNC:6918]	protein_coding	19	1573596	1592801	-1
ENSG00000071794	HLTF	helicase like transcription factor [Source:HGNC Symbol;Acc:HGNC:11099]	protein_coding	3	149030127	149086554	-1
ENSG00000071859	FAM50A	family with sequence similarity 50 member A [Source:HGNC Symbol;Acc:HGNC:18786]	protein_coding	X	154444126	154450654	1
ENSG00000071889	FAM3A	family with sequence similarity 3 member A [Source:HGNC Symbol;Acc:HGNC:13749]	protein_coding	X	154506159	154516242	-1
ENSG00000071894	CPSF1	cleavage and polyadenylation specific factor 1 [Source:HGNC Symbol;Acc:HGNC:2324]	protein_coding	8	144393229	144409349	-1
ENSG00000071909	MYO3B	myosin IIIB [Source:HGNC Symbol;Acc:HGNC:15576]	protein_coding	2	170178145	170655171	1
ENSG00000071967	CYBRD1	cytochrome b reductase 1 [Source:HGNC Symbol;Acc:HGNC:20797]	protein_coding	2	171522247	171558133	1
ENSG00000071994	PDCD2	programmed cell death 2 [Source:HGNC Symbol;Acc:HGNC:8762]	protein_coding	6	170575295	170584692	-1
ENSG00000072041	SLC6A15	solute carrier family 6 member 15 [Source:HGNC Symbol;Acc:HGNC:13621]	protein_coding	12	84859488	84913615	-1
ENSG00000072042	RDH11	retinol dehydrogenase 11 (all-trans/9-cis/11-cis) [Source:HGNC Symbol;Acc:HGNC:17964]	protein_coding	14	67676801	67695814	-1
ENSG00000072062	PRKACA	protein kinase cAMP-activated catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9380]	protein_coding	19	14091688	14118084	-1
ENSG00000072071	ADGRL1	adhesion G protein-coupled receptor L1 [Source:HGNC Symbol;Acc:HGNC:20973]	protein_coding	19	14147743	14206187	-1
ENSG00000072110	ACTN1	actinin alpha 1 [Source:HGNC Symbol;Acc:HGNC:163]	protein_coding	14	68874143	68979440	-1
ENSG00000072121	ZFYVE26	zinc finger FYVE-type containing 26 [Source:HGNC Symbol;Acc:HGNC:20761]	protein_coding	14	67727374	67816590	-1
ENSG00000072133	RPS6KA6	ribosomal protein S6 kinase A6 [Source:HGNC Symbol;Acc:HGNC:10435]	protein_coding	X	84058346	84187907	-1
ENSG00000072134	EPN2	epsin 2 [Source:HGNC Symbol;Acc:HGNC:18639]	protein_coding	17	19215615	19336715	1
ENSG00000072135	PTPN18	protein tyrosine phosphatase, non-receptor type 18 [Source:HGNC Symbol;Acc:HGNC:9649]	protein_coding	2	130356007	130375409	1
ENSG00000072163	LIMS2	LIM zinc finger domain containing 2 [Source:HGNC Symbol;Acc:HGNC:16084]	protein_coding	2	127638381	127681786	-1
ENSG00000072195	SPEG	SPEG complex locus [Source:HGNC Symbol;Acc:HGNC:16901]	protein_coding	2	219434846	219498287	1
ENSG00000072201	LNX1	ligand of numb-protein X 1 [Source:HGNC Symbol;Acc:HGNC:6657]	protein_coding	4	53459301	53701405	-1
ENSG00000072210	ALDH3A2	aldehyde dehydrogenase 3 family member A2 [Source:HGNC Symbol;Acc:HGNC:403]	protein_coding	17	19648136	19677598	1
ENSG00000072274	TFRC	transferrin receptor [Source:HGNC Symbol;Acc:HGNC:11763]	protein_coding	3	196027183	196082189	-1
ENSG00000072310	SREBF1	sterol regulatory element binding transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:11289]	protein_coding	17	17810399	17837002	-1
ENSG00000072364	AFF4	AF4/FMR2 family member 4 [Source:HGNC Symbol;Acc:HGNC:17869]	protein_coding	5	132875379	132963634	-1
ENSG00000072401	UBE2D1	ubiquitin conjugating enzyme E2 D1 [Source:HGNC Symbol;Acc:HGNC:12474]	protein_coding	10	58334975	58370753	1
ENSG00000072415	MPP5	membrane palmitoylated protein 5 [Source:HGNC Symbol;Acc:HGNC:18669]	protein_coding	14	67241109	67335819	1
ENSG00000072422	RHOBTB1	Rho related BTB domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18738]	protein_coding	10	60869438	61001440	-1
ENSG00000072501	SMC1A	structural maintenance of chromosomes 1A [Source:HGNC Symbol;Acc:HGNC:11111]	protein_coding	X	53374149	53422728	-1
ENSG00000072506	HSD17B10	hydroxysteroid 17-beta dehydrogenase 10 [Source:HGNC Symbol;Acc:HGNC:4800]	protein_coding	X	53431258	53434373	-1
ENSG00000072518	MARK2	microtubule affinity regulating kinase 2 [Source:HGNC Symbol;Acc:HGNC:3332]	protein_coding	11	63838928	63911019	1
ENSG00000072571	HMMR	hyaluronan mediated motility receptor [Source:HGNC Symbol;Acc:HGNC:5012]	protein_coding	5	163460203	163491945	1
ENSG00000072609	CHFR	checkpoint with forkhead and ring finger domains [Source:HGNC Symbol;Acc:HGNC:20455]	protein_coding	12	132822187	132956304	-1
ENSG00000072657	TRHDE	thyrotropin releasing hormone degrading enzyme [Source:HGNC Symbol;Acc:HGNC:30748]	protein_coding	12	72087266	72670757	1
ENSG00000072682	P4HA2	prolyl 4-hydroxylase subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:8547]	protein_coding	5	132191838	132295315	-1
ENSG00000072736	NFATC3	nuclear factor of activated T cells 3 [Source:HGNC Symbol;Acc:HGNC:7777]	protein_coding	16	68084751	68229259	1
ENSG00000072756	TRNT1	tRNA nucleotidyl transferase 1 [Source:HGNC Symbol;Acc:HGNC:17341]	protein_coding	3	3126916	3150879	1
ENSG00000072778	ACADVL	acyl-CoA dehydrogenase very long chain [Source:HGNC Symbol;Acc:HGNC:92]	protein_coding	17	7217125	7225273	1
ENSG00000072786	STK10	serine/threonine kinase 10 [Source:HGNC Symbol;Acc:HGNC:11388]	protein_coding	5	172042073	172188386	-1
ENSG00000072803	FBXW11	F-box and WD repeat domain containing 11 [Source:HGNC Symbol;Acc:HGNC:13607]	protein_coding	5	171861549	172006873	-1
ENSG00000072818	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1 [Source:HGNC Symbol;Acc:HGNC:16467]	protein_coding	17	7336529	7351478	1
ENSG00000072832	CRMP1	collapsin response mediator protein 1 [Source:HGNC Symbol;Acc:HGNC:2365]	protein_coding	4	5748084	5893058	-1
ENSG00000072840	EVC	EvC ciliary complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:3497]	protein_coding	4	5711197	5814305	1
ENSG00000072849	DERL2	derlin 2 [Source:HGNC Symbol;Acc:HGNC:17943]	protein_coding	17	5471251	5486811	-1
ENSG00000072864	NDE1	nudE neurodevelopment protein 1 [Source:HGNC Symbol;Acc:HGNC:17619]	protein_coding	16	15643267	15726353	1
ENSG00000072952	MRVI1	murine retrovirus integration site 1 homolog [Source:HGNC Symbol;Acc:HGNC:7237]	protein_coding	11	10573091	10693988	-1
ENSG00000072954	TMEM38A	transmembrane protein 38A [Source:HGNC Symbol;Acc:HGNC:28462]	protein_coding	19	16661127	16690029	1
ENSG00000072958	AP1M1	adaptor related protein complex 1 mu 1 subunit [Source:HGNC Symbol;Acc:HGNC:13667]	protein_coding	19	16197578	16245907	1
ENSG00000073008	PVR	poliovirus receptor [Source:HGNC Symbol;Acc:HGNC:9705]	protein_coding	19	44643798	44663583	1
ENSG00000073050	XRCC1	X-ray repair cross complementing 1 [Source:HGNC Symbol;Acc:HGNC:12828]	protein_coding	19	43543040	43580473	-1
ENSG00000073060	SCARB1	scavenger receptor class B member 1 [Source:HGNC Symbol;Acc:HGNC:1664]	protein_coding	12	124776856	124882668	-1
ENSG00000073111	MCM2	minichromosome maintenance complex component 2 [Source:HGNC Symbol;Acc:HGNC:6944]	protein_coding	3	127598223	127622436	1
ENSG00000073146	MOV10L1	Mov10 RISC complex RNA helicase like 1 [Source:HGNC Symbol;Acc:HGNC:7201]	protein_coding	22	50089879	50161690	1
ENSG00000073150	PANX2	pannexin 2 [Source:HGNC Symbol;Acc:HGNC:8600]	protein_coding	22	50170731	50180294	1
ENSG00000073169	SELENOO	selenoprotein O [Source:HGNC Symbol;Acc:HGNC:30395]	protein_coding	22	50200979	50217616	1
ENSG00000073331	ALPK1	alpha kinase 1 [Source:HGNC Symbol;Acc:HGNC:20917]	protein_coding	4	112285509	112442620	1
ENSG00000073417	PDE8A	phosphodiesterase 8A [Source:HGNC Symbol;Acc:HGNC:8793]	protein_coding	15	84980440	85139145	1
ENSG00000073464	CLCN4	chloride voltage-gated channel 4 [Source:HGNC Symbol;Acc:HGNC:2022]	protein_coding	X	10156945	10237660	1
ENSG00000073536	NLE1	notchless homolog 1 [Source:HGNC Symbol;Acc:HGNC:19889]	protein_coding	17	35128753	35142315	-1
ENSG00000073578	SDHA	succinate dehydrogenase complex flavoprotein subunit A [Source:HGNC Symbol;Acc:HGNC:10680]	protein_coding	5	218241	256700	1
ENSG00000073584	SMARCE1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1 [Source:HGNC Symbol;Acc:HGNC:11109]	protein_coding	17	40624962	40648864	-1
ENSG00000073605	GSDMB	gasdermin B [Source:HGNC Symbol;Acc:HGNC:23690]	protein_coding	17	39904595	39919854	-1
ENSG00000073614	KDM5A	lysine demethylase 5A [Source:HGNC Symbol;Acc:HGNC:9886]	protein_coding	12	280129	389454	-1
ENSG00000073670	ADAM11	ADAM metallopeptidase domain 11 [Source:HGNC Symbol;Acc:HGNC:189]	protein_coding	17	44759031	44781846	1
ENSG00000073711	PPP2R3A	protein phosphatase 2 regulatory subunit B''alpha [Source:HGNC Symbol;Acc:HGNC:9307]	protein_coding	3	135965673	136147891	1
ENSG00000073712	FERMT2	fermitin family member 2 [Source:HGNC Symbol;Acc:HGNC:15767]	protein_coding	14	52857268	52952435	-1
ENSG00000073756	PTGS2	prostaglandin-endoperoxide synthase 2 [Source:HGNC Symbol;Acc:HGNC:9605]	protein_coding	1	186671791	186680427	-1
ENSG00000073792	IGF2BP2	insulin like growth factor 2 mRNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:28867]	protein_coding	3	185643739	185825056	-1
ENSG00000073803	MAP3K13	mitogen-activated protein kinase kinase kinase 13 [Source:HGNC Symbol;Acc:HGNC:6852]	protein_coding	3	185282941	185489097	1
ENSG00000073849	ST6GAL1	ST6 beta-galactoside alpha-2,6-sialyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10860]	protein_coding	3	186930485	187078553	1
ENSG00000073905	VDAC1P1	voltage dependent anion channel 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:12671]	processed_pseudogene	X	80929500	80930347	1
ENSG00000073910	FRY	FRY microtubule binding protein [Source:HGNC Symbol;Acc:HGNC:20367]	protein_coding	13	31846713	32299122	1
ENSG00000073921	PICALM	phosphatidylinositol binding clathrin assembly protein [Source:HGNC Symbol;Acc:HGNC:15514]	protein_coding	11	85957684	86069882	-1
ENSG00000073969	NSF	N-ethylmaleimide sensitive factor, vesicle fusing ATPase [Source:HGNC Symbol;Acc:HGNC:8016]	protein_coding	17	46590669	46757464	1
ENSG00000074047	GLI2	GLI family zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:4318]	protein_coding	2	120735623	120992653	1
ENSG00000074054	CLASP1	cytoplasmic linker associated protein 1 [Source:HGNC Symbol;Acc:HGNC:17088]	protein_coding	2	121337776	121649587	-1
ENSG00000074071	MRPS34	mitochondrial ribosomal protein S34 [Source:HGNC Symbol;Acc:HGNC:16618]	protein_coding	16	1771890	1773155	-1
ENSG00000074181	NOTCH3	notch 3 [Source:HGNC Symbol;Acc:HGNC:7883]	protein_coding	19	15159038	15200981	-1
ENSG00000074201	CLNS1A	chloride nucleotide-sensitive channel 1A [Source:HGNC Symbol;Acc:HGNC:2080]	protein_coding	11	77514936	77637805	-1
ENSG00000074219	TEAD2	TEA domain transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:11715]	protein_coding	19	49340595	49362457	-1
ENSG00000074266	EED	embryonic ectoderm development [Source:HGNC Symbol;Acc:HGNC:3188]	protein_coding	11	86244544	86278813	1
ENSG00000074319	TSG101	tumor susceptibility 101 [Source:HGNC Symbol;Acc:HGNC:15971]	protein_coding	11	18468336	18527232	-1
ENSG00000074356	NCBP3	nuclear cap binding subunit 3 [Source:HGNC Symbol;Acc:HGNC:24612]	protein_coding	17	3802165	3846251	-1
ENSG00000074370	ATP2A3	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3 [Source:HGNC Symbol;Acc:HGNC:813]	protein_coding	17	3923870	3964464	-1
ENSG00000074410	CA12	carbonic anhydrase 12 [Source:HGNC Symbol;Acc:HGNC:1371]	protein_coding	15	63321378	63382161	-1
ENSG00000074416	MGLL	monoglyceride lipase [Source:HGNC Symbol;Acc:HGNC:17038]	protein_coding	3	127689062	127823250	-1
ENSG00000074527	NTN4	netrin 4 [Source:HGNC Symbol;Acc:HGNC:13658]	protein_coding	12	95657807	95791152	-1
ENSG00000074582	BCS1L	BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone [Source:HGNC Symbol;Acc:HGNC:1020]	protein_coding	2	218658764	218663443	1
ENSG00000074590	NUAK1	NUAK family kinase 1 [Source:HGNC Symbol;Acc:HGNC:14311]	protein_coding	12	106063340	106140033	-1
ENSG00000074603	DPP8	dipeptidyl peptidase 8 [Source:HGNC Symbol;Acc:HGNC:16490]	protein_coding	15	65442463	65517704	-1
ENSG00000074621	SLC24A1	solute carrier family 24 member 1 [Source:HGNC Symbol;Acc:HGNC:10975]	protein_coding	15	65611366	65660995	1
ENSG00000074657	ZNF532	zinc finger protein 532 [Source:HGNC Symbol;Acc:HGNC:30940]	protein_coding	18	58862600	58986480	1
ENSG00000074660	SCARF1	scavenger receptor class F member 1 [Source:HGNC Symbol;Acc:HGNC:16820]	protein_coding	17	1633858	1645747	-1
ENSG00000074695	LMAN1	lectin, mannose binding 1 [Source:HGNC Symbol;Acc:HGNC:6631]	protein_coding	18	59327823	59359962	-1
ENSG00000074696	HACD3	3-hydroxyacyl-CoA dehydratase 3 [Source:HGNC Symbol;Acc:HGNC:24175]	protein_coding	15	65530418	65578352	1
ENSG00000074706	IPCEF1	interaction protein for cytohesin exchange factors 1 [Source:HGNC Symbol;Acc:HGNC:21204]	protein_coding	6	154154496	154356792	-1
ENSG00000074755	ZZEF1	zinc finger ZZ-type and EF-hand domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29027]	protein_coding	17	4004445	4143020	-1
ENSG00000074800	ENO1	enolase 1 [Source:HGNC Symbol;Acc:HGNC:3350]	protein_coding	1	8861000	8879250	-1
ENSG00000074842	MYDGF	myeloid derived growth factor [Source:HGNC Symbol;Acc:HGNC:16948]	protein_coding	19	4641374	4670370	-1
ENSG00000074855	ANO8	anoctamin 8 [Source:HGNC Symbol;Acc:HGNC:29329]	protein_coding	19	17323223	17334829	-1
ENSG00000074935	TUBE1	tubulin epsilon 1 [Source:HGNC Symbol;Acc:HGNC:20775]	protein_coding	6	112070777	112087529	-1
ENSG00000074964	ARHGEF10L	Rho guanine nucleotide exchange factor 10 like [Source:HGNC Symbol;Acc:HGNC:25540]	protein_coding	1	17539835	17697874	1
ENSG00000075089	ACTR6	ARP6 actin related protein 6 homolog [Source:HGNC Symbol;Acc:HGNC:24025]	protein_coding	12	100199122	100241865	1
ENSG00000075131	TIPIN	TIMELESS interacting protein [Source:HGNC Symbol;Acc:HGNC:30750]	protein_coding	15	66336206	66386746	-1
ENSG00000075142	SRI	sorcin [Source:HGNC Symbol;Acc:HGNC:11292]	protein_coding	7	88205118	88226993	-1
ENSG00000075151	EIF4G3	eukaryotic translation initiation factor 4 gamma 3 [Source:HGNC Symbol;Acc:HGNC:3298]	protein_coding	1	20806292	21176888	-1
ENSG00000075188	NUP37	nucleoporin 37 [Source:HGNC Symbol;Acc:HGNC:29929]	protein_coding	12	102073103	102120124	-1
ENSG00000075213	SEMA3A	semaphorin 3A [Source:HGNC Symbol;Acc:HGNC:10723]	protein_coding	7	83955777	84492724	-1
ENSG00000075223	SEMA3C	semaphorin 3C [Source:HGNC Symbol;Acc:HGNC:10725]	protein_coding	7	80742538	80922359	-1
ENSG00000075234	TTC38	tetratricopeptide repeat domain 38 [Source:HGNC Symbol;Acc:HGNC:26082]	protein_coding	22	46267961	46294008	1
ENSG00000075239	ACAT1	acetyl-CoA acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:93]	protein_coding	11	108121516	108147776	1
ENSG00000075240	GRAMD4	GRAM domain containing 4 [Source:HGNC Symbol;Acc:HGNC:29113]	protein_coding	22	46576012	46679790	1
ENSG00000075292	ZNF638	zinc finger protein 638 [Source:HGNC Symbol;Acc:HGNC:17894]	protein_coding	2	71276561	71435069	1
ENSG00000075303	SLC25A40	solute carrier family 25 member 40 [Source:HGNC Symbol;Acc:HGNC:29680]	protein_coding	7	87833568	87876357	-1
ENSG00000075336	TIMM21	translocase of inner mitochondrial membrane 21 [Source:HGNC Symbol;Acc:HGNC:25010]	protein_coding	18	74148511	74160530	1
ENSG00000075391	RASAL2	RAS protein activator like 2 [Source:HGNC Symbol;Acc:HGNC:9874]	protein_coding	1	178094141	178484147	1
ENSG00000075399	VPS9D1	VPS9 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:13526]	protein_coding	16	89707134	89720986	-1
ENSG00000075407	ZNF37A	zinc finger protein 37A [Source:HGNC Symbol;Acc:HGNC:13102]	protein_coding	10	38094334	38150293	1
ENSG00000075413	MARK3	microtubule affinity regulating kinase 3 [Source:HGNC Symbol;Acc:HGNC:6897]	protein_coding	14	103385392	103503831	1
ENSG00000075415	SLC25A3	solute carrier family 25 member 3 [Source:HGNC Symbol;Acc:HGNC:10989]	protein_coding	12	98593591	98606379	1
ENSG00000075420	FNDC3B	fibronectin type III domain containing 3B [Source:HGNC Symbol;Acc:HGNC:24670]	protein_coding	3	172039628	172401665	1
ENSG00000075426	FOSL2	FOS like 2, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3798]	protein_coding	2	28392448	28417312	1
ENSG00000075539	FRYL	FRY like transcription coactivator [Source:HGNC Symbol;Acc:HGNC:29127]	protein_coding	4	48497361	48780322	-1
ENSG00000075568	TMEM131	transmembrane protein 131 [Source:HGNC Symbol;Acc:HGNC:30366]	protein_coding	2	97756333	97995891	-1
ENSG00000075618	FSCN1	fascin actin-bundling protein 1 [Source:HGNC Symbol;Acc:HGNC:11148]	protein_coding	7	5592823	5606655	1
ENSG00000075624	ACTB	actin beta [Source:HGNC Symbol;Acc:HGNC:132]	protein_coding	7	5527147	5563784	-1
ENSG00000075643	MOCOS	molybdenum cofactor sulfurase [Source:HGNC Symbol;Acc:HGNC:18234]	protein_coding	18	36187519	36272157	1
ENSG00000075651	PLD1	phospholipase D1 [Source:HGNC Symbol;Acc:HGNC:9067]	protein_coding	3	171600405	171810950	-1
ENSG00000075702	WDR62	WD repeat domain 62 [Source:HGNC Symbol;Acc:HGNC:24502]	protein_coding	19	36054881	36105106	1
ENSG00000075711	DLG1	discs large MAGUK scaffold protein 1 [Source:HGNC Symbol;Acc:HGNC:2900]	protein_coding	3	197042560	197299300	-1
ENSG00000075785	RAB7A	RAB7A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9788]	protein_coding	3	128726122	128814796	1
ENSG00000075790	BCAP29	B cell receptor associated protein 29 [Source:HGNC Symbol;Acc:HGNC:24131]	protein_coding	7	107579977	107629170	1
ENSG00000075826	SEC31B	SEC31 homolog B, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:23197]	protein_coding	10	100486642	100519864	-1
