Gene stable ID	Gene start (bp)	Gene end (bp)	Strand	Gene name	Gene type	Gene description	Chromosome/scaffold name
ENSDARG00000103220	37443194	37445449	1	slc10a3	protein_coding	solute carrier family 10, member 3 [Source:ZFIN;Acc:ZDB-GENE-040426-2347]	25
ENSDARG00000069852	4957784	4969525	-1	lipt2	protein_coding	lipoyl(octanoyl) transferase 2 [Source:ZFIN;Acc:ZDB-GENE-060312-18]	15
ENSDARG00000093364	3944108	3963100	-1	mtmr3	protein_coding	myotubularin related protein 3 [Source:ZFIN;Acc:ZDB-GENE-091204-465]	8
ENSDARG00000074031	6225493	6243978	1	fastkd2	protein_coding	FAST kinase domains 2 [Source:ZFIN;Acc:ZDB-GENE-090313-7]	1
ENSDARG00000092245	17660185	17661172	-1	BX000447.1	sense_intronic		8
ENSDARG00000071437	22977268	23067859	-1	ptprc	protein_coding	protein tyrosine phosphatase, receptor type, C [Source:ZFIN;Acc:ZDB-GENE-050208-585]	22
ENSDARG00000105408	16055484	16059808	1	BX248082.1	antisense		16
ENSDARG00000003920	13224239	13231101	-1	setb	protein_coding	SET nuclear proto-oncogene b [Source:ZFIN;Acc:ZDB-GENE-030131-433]	21
ENSDARG00000039563	15234521	15404571	1	loxl3b	protein_coding	lysyl oxidase-like 3b [Source:ZFIN;Acc:ZDB-GENE-030131-8210]	13
ENSDARG00000088383	29075145	29080125	-1	cox5aa	protein_coding	cytochrome c oxidase subunit 5Aa [Source:ZFIN;Acc:ZDB-GENE-050522-133]	25
ENSDARG00000012874	33415319	33433097	1	snap23.1	protein_coding	synaptosomal-associated protein 23.1 [Source:ZFIN;Acc:ZDB-GENE-040426-883]	17
ENSDARG00000104267	32710094	32741733	1	postnb	protein_coding	periostin, osteoblast specific factor b [Source:ZFIN;Acc:ZDB-GENE-030131-9120]	15
ENSDARG00000009689	21815613	21994901	-1	daam1b	protein_coding	dishevelled associated activator of morphogenesis 1b [Source:ZFIN;Acc:ZDB-GENE-030131-4212]	20
ENSDARG00000099733	2574122	2586554	1	CIR1	protein_coding	si:ch73-167c12.2 [Source:ZFIN;Acc:ZDB-GENE-100922-268]	9
ENSDARG00000054973	30473507	30521043	-1	itsn2b	protein_coding	intersectin 2b [Source:ZFIN;Acc:ZDB-GENE-050309-102]	17
ENSDARG00000074761	3701042	3773374	-1	bicdl1	protein_coding	BICD family like cargo adaptor 1 [Source:ZFIN;Acc:ZDB-GENE-091204-439]	8
ENSDARG00000070427	28754403	28760006	1	s100v1	protein_coding	S100 calcium binding protein V1 [Source:ZFIN;Acc:ZDB-GENE-080407-1]	16
ENSDARG00000031243	55112922	55120300	1	snai3	protein_coding	snail family zinc finger 3 [Source:ZFIN;Acc:ZDB-GENE-061013-757]	7
ENSDARG00000032623	26879725	26926577	-1	rcan3	protein_coding	regulator of calcineurin 3 [Source:ZFIN;Acc:ZDB-GENE-040718-445]	17
ENSDARG00000058352	21959708	21973365	-1	acot9.1	protein_coding	acyl-CoA thioesterase 9, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-040724-139]	24
ENSDARG00000098365	12065957	12093618	-1	lrrc74b	protein_coding	leucine rich repeat containing 74B [Source:ZFIN;Acc:ZDB-GENE-141212-96]	5
ENSDARG00000094535	24556455	24560873	1	BX957326.1	processed_transcript		23
ENSDARG00000018891	51712869	51720633	-1	rnaseh2a	protein_coding	ribonuclease H2, subunit A [Source:ZFIN;Acc:ZDB-GENE-040426-976]	1
ENSDARG00000059646	23639124	23656730	1	nt5dc2	protein_coding	5'-nucleotidase domain containing 2 [Source:ZFIN;Acc:ZDB-GENE-060810-17]	8
ENSDARG00000003380	30655172	30662403	-1	PAOX	protein_coding	si:dkey-275b16.2 [Source:ZFIN;Acc:ZDB-GENE-090312-204]	13
ENSDARG00000025507	37640626	37660664	1	wdr24	protein_coding	WD repeat domain 24 [Source:ZFIN;Acc:ZDB-GENE-040426-2012]	24
ENSDARG00000097192	46397661	46430863	-1	CU861453.1	antisense		16
ENSDARG00000060368	31119548	31148319	1	syn1	protein_coding	synapsin I [Source:ZFIN;Acc:ZDB-GENE-081105-93]	8
ENSDARG00000075866	10881168	10906854	-1	cdcp2	protein_coding	CUB domain containing protein 2 [Source:ZFIN;Acc:ZDB-GENE-070705-485]	2
ENSDARG00000079080	28907798	28926631	-1	etfbkmt	protein_coding	electron transfer flavoprotein subunit beta lysine methyltransferase [Source:ZFIN;Acc:ZDB-GENE-111107-1]	25
ENSDARG00000027353	21430311	21460164	-1	zmym2	protein_coding	zinc finger, MYM-type 2 [Source:ZFIN;Acc:ZDB-GENE-030131-2408]	9
ENSDARG00000094627	24602633	24603925	-1	DYNLT1 (1 of many)	protein_coding	si:dkey-148f10.4 [Source:ZFIN;Acc:ZDB-GENE-060503-292]	17
ENSDARG00000101997	55187370	55437051	-1	si:dkey-191j3.2	protein_coding	si:dkey-191j3.2 [Source:ZFIN;Acc:ZDB-GENE-081103-55]	4
ENSDARG00000099426	17346399	17347139	1	CU179702.1	unprocessed_pseudogene		7
ENSDARG00000111046	36150332	36156389	1	znf1116	protein_coding	zinc finger protein 1116 [Source:ZFIN;Acc:ZDB-GENE-110914-47]	4
ENSDARG00000104445	15779159	15780407	-1	CT573793.3	lincRNA		16
ENSDARG00000079062	55817653	55840105	-1	samd1b	protein_coding	sterile alpha motif domain containing 1b [Source:ZFIN;Acc:ZDB-GENE-090313-2]	1
ENSDARG00000044093	24615091	24618279	1	rpl13a	protein_coding	ribosomal protein L13a [Source:ZFIN;Acc:ZDB-GENE-030131-168]	17
ENSDARG00000021462	46382484	46394080	1	daw1	protein_coding	dynein assembly factor with WDR repeat domains 1 [Source:ZFIN;Acc:ZDB-GENE-050419-255]	18
ENSDARG00000093931	25093291	25099679	-1	rflnb	protein_coding	refilin B [Source:ZFIN;Acc:ZDB-GENE-090409-1]	15
ENSDARG00000071680	5123479	5130024	1	loxl5a	protein_coding	lysyl oxidase-like 5a [Source:ZFIN;Acc:ZDB-GENE-070705-186]	22
ENSDARG00000035907	30633453	30684874	1	fam49al	protein_coding	family with sequence similarity 49 member A, like [Source:ZFIN;Acc:ZDB-GENE-040801-125]	19
ENSDARG00000093418	33423170	33427035	1	si:dkey-216e24.9	protein_coding	si:dkey-216e24.9 [Source:ZFIN;Acc:ZDB-GENE-070912-441]	9
ENSDARG00000040445	23765587	23779525	1	si:ch211-219a4.3	protein_coding	si:ch211-219a4.3 [Source:ZFIN;Acc:ZDB-GENE-070424-157]	9
ENSDARG00000035695	3001473	3009570	1	scxa	protein_coding	scleraxis bHLH transcription factor a [Source:ZFIN;Acc:ZDB-GENE-060503-414]	19
ENSDARG00000013670	29770120	29791466	1	hyou1	protein_coding	hypoxia up-regulated 1 [Source:ZFIN;Acc:ZDB-GENE-030131-5344]	10
ENSDARG00000002487	5399680	5418340	-1	noc3l	protein_coding	NOC3-like DNA replication regulator [Source:ZFIN;Acc:ZDB-GENE-030131-9878]	12
ENSDARG00000021209	51586483	51599169	-1	kctd9a	protein_coding	potassium channel tetramerization domain containing 9a [Source:ZFIN;Acc:ZDB-GENE-050320-147]	8
ENSDARG00000055080	22796083	22801248	1	rbm4.2	protein_coding	RNA binding motif protein 4.2 [Source:ZFIN;Acc:ZDB-GENE-030131-3019]	7
ENSDARG00000031658	29795833	29896572	1	si:ch211-207d6.2	protein_coding	si:ch211-207d6.2 [Source:ZFIN;Acc:ZDB-GENE-070912-185]	2
ENSDARG00000059485	66353589	66362023	1	emb	protein_coding	embigin [Source:ZFIN;Acc:ZDB-GENE-070705-158]	5
ENSDARG00000058543	9567334	9768700	-1	lama5	protein_coding	laminin, alpha 5 [Source:ZFIN;Acc:ZDB-GENE-030131-9823]	23
ENSDARG00000076257	3427806	3429874	-1	si:ch211-285c6.1	protein_coding	si:ch211-285c6.1 [Source:ZFIN;Acc:ZDB-GENE-041001-89]	7
ENSDARG00000045414	8861272	8887825	-1	elovl2	protein_coding	ELOVL fatty acid elongase 2 [Source:ZFIN;Acc:ZDB-GENE-060421-5612]	24
ENSDARG00000056395	20461488	20473567	1	onecut3a	protein_coding	one cut homeobox 3a [Source:ZFIN;Acc:ZDB-GENE-050208-744]	22
ENSDARG00000101660	3379673	3570911	1	sntg2	protein_coding	syntrophin, gamma 2 [Source:ZFIN;Acc:ZDB-GENE-060526-196]	17
ENSDARG00000074906	410870	426525	-1	znf831	protein_coding	zinc finger protein 831 [Source:ZFIN;Acc:ZDB-GENE-081022-210]	11
ENSDARG00000114861	33722547	33725328	1	si:dkey-31m5.5	protein_coding	si:dkey-31m5.5 [Source:ZFIN;Acc:ZDB-GENE-070912-517]	2
ENSDARG00000054448	44667616	44677315	-1	kif1c	protein_coding	kinesin family member 1C [Source:ZFIN;Acc:ZDB-GENE-090312-119]	23
ENSDARG00000102579	38357915	38395068	-1	BX323855.2	antisense		7
ENSDARG00000092281	19606291	19652915	1	flnb	protein_coding	filamin B, beta (actin binding protein 278) [Source:ZFIN;Acc:ZDB-GENE-041026-1]	23
ENSDARG00000104953	39212601	39234155	1	stt3a	protein_coding	STT3A, subunit of the oligosaccharyltransferase complex (catalytic) [Source:ZFIN;Acc:ZDB-GENE-021015-3]	10
ENSDARG00000071551	18899396	18904360	1	xrcc6	protein_coding	X-ray repair complementing defective repair in Chinese hamster cells 6 [Source:ZFIN;Acc:ZDB-GENE-030131-6420]	12
ENSDARG00000039958	33645721	33650578	-1	utp11l	protein_coding	UTP11-like, U3 small nucleolar ribonucleoprotein (yeast) [Source:ZFIN;Acc:ZDB-GENE-030131-8093]	16
ENSDARG00000087191	52371112	52388734	-1	wdr93	protein_coding	WD repeat domain 93 [Source:ZFIN;Acc:ZDB-GENE-161017-52]	7
ENSDARG00000036254	20895904	20897836	1	hoxa13b	protein_coding	homeobox A13b [Source:ZFIN;Acc:ZDB-GENE-980526-365]	16
ENSDARG00000056871	22854803	22862078	1	ap4m1	protein_coding	adaptor related protein complex 4 subunit mu 1 [Source:ZFIN;Acc:ZDB-GENE-040718-421]	10
ENSDARG00000078789	36722122	36746569	1	tmem184c	protein_coding	transmembrane protein 184C [Source:ZFIN;Acc:ZDB-GENE-090312-89]	1
ENSDARG00000059682	44141758	44161417	-1	slc43a3a	protein_coding	solute carrier family 43, member 3a [Source:ZFIN;Acc:ZDB-GENE-110208-8]	1
ENSDARG00000094026	19415093	19420029	1	BX890544.1	antisense		20
ENSDARG00000094192	20956078	20971940	1	si:dkeyp-82a1.2	protein_coding	si:dkeyp-82a1.2 [Source:ZFIN;Acc:ZDB-GENE-081104-475]	8
ENSDARG00000100669	77740228	77915287	1	si:dkey-61p9.9	protein_coding	si:dkey-61p9.9 [Source:ZFIN;Acc:ZDB-GENE-041210-240]	4
ENSDARG00000009978	23431189	23432552	1	icn	protein_coding	ictacalcin [Source:ZFIN;Acc:ZDB-GENE-030131-8599]	16
ENSDARG00000076017	33875137	33878665	-1	tmem69	protein_coding	transmembrane protein 69 [Source:ZFIN;Acc:ZDB-GENE-081022-98]	6
ENSDARG00000001656	7111779	7144585	-1	psmb13a	protein_coding	proteasome subunit beta 13a [Source:ZFIN;Acc:ZDB-GENE-001208-2]	19
ENSDARG00000096147	11610718	11637382	-1	BX465862.3	lincRNA		4
ENSDARG00000056600	17458949	17479078	-1	papss2b	protein_coding	3'-phosphoadenosine 5'-phosphosulfate synthase 2b [Source:ZFIN;Acc:ZDB-GENE-010323-5]	12
ENSDARG00000063372	19783352	19793361	1	zpld1b	protein_coding	zona pellucida-like domain containing 1b [Source:ZFIN;Acc:ZDB-GENE-121214-104]	15
ENSDARG00000015970	31276162	31346387	-1	phip	protein_coding	pleckstrin homology domain interacting protein [Source:ZFIN;Acc:ZDB-GENE-050208-261]	23
ENSDARG00000020231	36867281	36896560	-1	mapre3a	protein_coding	microtubule-associated protein, RP/EB family, member 3a [Source:ZFIN;Acc:ZDB-GENE-050913-88]	17
ENSDARG00000053840	39199547	39207900	1	ei24	protein_coding	etoposide induced 2.4 [Source:ZFIN;Acc:ZDB-GENE-050417-457]	10
ENSDARG00000110939	12348479	12350419	-1	si:dkey-27d5.14	protein_coding	si:dkey-27d5.14 [Source:ZFIN;Acc:ZDB-GENE-141216-38]	11
ENSDARG00000061062	41459759	41481650	1	nemp2	protein_coding	nuclear envelope integral membrane protein 2 [Source:ZFIN;Acc:ZDB-GENE-081104-413]	9
ENSDARG00000004055	18207655	18281160	-1	uhrf1bp1l	protein_coding	UHRF1 binding protein 1-like [Source:ZFIN;Acc:ZDB-GENE-041210-177]	4
ENSDARG00000015978	42374770	42378524	1	COX5B	protein_coding	zgc:86599 [Source:ZFIN;Acc:ZDB-GENE-040625-180]	10
ENSDARG00000042345	27090908	27092290	-1	si:dkeyp-55f12.3	protein_coding	si:dkeyp-55f12.3 [Source:ZFIN;Acc:ZDB-GENE-041001-118]	20
ENSDARG00000086819	49906037	50001606	-1	scn1laa	protein_coding	sodium channel, voltage-gated, type I-like, alpha [Source:ZFIN;Acc:ZDB-GENE-040426-751]	9
ENSDARG00000042341	27087539	27090853	1	tmem251	protein_coding	transmembrane protein 251 [Source:ZFIN;Acc:ZDB-GENE-041001-121]	20
ENSDARG00000104194	36117004	36117063	1	traj45	TR_J_gene	T-cell receptor alpha joining 45 [Source:ZFIN;Acc:ZDB-GENE-170601-53]	2
ENSDARG00000002506	41873080	41881238	-1	zgc:92818	protein_coding	zgc:92818 [Source:ZFIN;Acc:ZDB-GENE-040718-217]	7
ENSDARG00000090526	30540911	30549022	-1	zgc:158404	protein_coding	zgc:158404 [Source:ZFIN;Acc:ZDB-GENE-070112-592]	12
ENSDARG00000103386	8383549	8383923	-1	CR407701.1	unprocessed_pseudogene		14
ENSDARG00000031681	33681199	33687214	-1	atp6v0b	protein_coding	ATPase H+ transporting V0 subunit b [Source:ZFIN;Acc:ZDB-GENE-030131-443]	2
ENSDARG00000005560	17166035	17170086	-1	ywhah	protein_coding	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta polypeptide [Source:ZFIN;Acc:ZDB-GENE-040426-2191]	10
ENSDARG00000078315	11943792	11960218	1	zgc:110063	protein_coding	zgc:110063 [Source:ZFIN;Acc:ZDB-GENE-050522-367]	5
ENSDARG00000061579	28268135	28352897	1	myo1cb	protein_coding	myosin Ic, paralog b [Source:ZFIN;Acc:ZDB-GENE-090429-3]	15
ENSDARG00000058243	12232773	12345764	-1	phactr3a	protein_coding	phosphatase and actin regulator 3a [Source:ZFIN;Acc:ZDB-GENE-080220-4]	23
ENSDARG00000022525	25503442	25512817	1	mchr1b	protein_coding	melanin-concentrating hormone receptor 1b [Source:ZFIN;Acc:ZDB-GENE-030502-5]	3
ENSDARG00000045900	737539	760560	-1	agbl5	protein_coding	ATP/GTP binding protein-like 5 [Source:ZFIN;Acc:ZDB-GENE-040822-29]	4
ENSDARG00000097623	46911890	46920595	1	CU137681.2	lincRNA		17
ENSDARG00000053488	6182346	6193966	1	si:ch73-22a13.3	protein_coding	si:ch73-22a13.3 [Source:ZFIN;Acc:ZDB-GENE-141216-64]	14
ENSDARG00000099852	6193458	6195286	-1	FP103005.1	antisense		14
ENSDARG00000055746	36914221	36920453	1	si:ch211-238g23.1	protein_coding	si:ch211-238g23.1 [Source:ZFIN;Acc:ZDB-GENE-050420-173]	18
ENSDARG00000097945	46885146	46906000	-1	CU137681.4	lincRNA		17
ENSDARG00000040309	11451077	11467549	-1	pxdc1b	protein_coding	PX domain containing 1b [Source:ZFIN;Acc:ZDB-GENE-091204-294]	24
ENSDARG00000018159	13528257	13558212	-1	ano10b	protein_coding	anoctamin 10b [Source:ZFIN;Acc:ZDB-GENE-061013-169]	25
ENSDARG00000000588	32199588	32236122	-1	grasp	protein_coding	GRP1 (general receptor for phosphoinositides 1)-associated scaffold protein [Source:ZFIN;Acc:ZDB-GENE-060312-30]	23
ENSDARG00000096889	68891515	68893011	-1	CT033825.1	lincRNA		5
ENSDARG00000012860	37890521	37913074	1	tmprss4b	protein_coding	transmembrane serine protease 4b [Source:ZFIN;Acc:ZDB-GENE-030131-5862]	5
ENSDARG00000037057	8314451	8330577	1	gcdha	protein_coding	glutaryl-CoA dehydrogenase a [Source:ZFIN;Acc:ZDB-GENE-040426-1855]	6
ENSDARG00000097049	53569071	53572201	1	CR759845.3	processed_transcript		16
ENSDARG00000058560	9560797	9567306	1	adrm1	protein_coding	adhesion regulating molecule 1 [Source:ZFIN;Acc:ZDB-GENE-040426-905]	23
ENSDARG00000055653	39178348	39186185	-1	nubp2	protein_coding	nucleotide binding protein 2 (MinD homolog, E. coli) [Source:ZFIN;Acc:ZDB-GENE-051023-10]	24
ENSDARG00000029660	10374530	10387377	-1	commd5	protein_coding	COMM domain containing 5 [Source:ZFIN;Acc:ZDB-GENE-040801-71]	14
ENSDARG00000020764	19590006	19604413	1	slmapb	protein_coding	sarcolemma associated protein b [Source:ZFIN;Acc:ZDB-GENE-040426-809]	23
ENSDARG00000099833	686157	700697	1	fbxo7	protein_coding	F-box protein 7 [Source:ZFIN;Acc:ZDB-GENE-050913-68]	4
ENSDARG00000010630	23703704	23705746	1	hoxb6a	protein_coding	homeobox B6a [Source:ZFIN;Acc:ZDB-GENE-990415-106]	3
ENSDARG00000059323	3892386	3907937	-1	rpn1	protein_coding	ribophorin I [Source:ZFIN;Acc:ZDB-GENE-030131-4286]	11
ENSDARG00000071678	5103349	5116624	1	atcaya	protein_coding	ataxia, cerebellar, Cayman type a [Source:ZFIN;Acc:ZDB-GENE-070705-185]	22
ENSDARG00000060875	44498182	44642108	-1	pde1a	protein_coding	phosphodiesterase 1A, calmodulin-dependent [Source:ZFIN;Acc:ZDB-GENE-090831-2]	9
ENSDARG00000101955	1734981	1738040	1	znf1159	protein_coding	zinc finger protein 1159 [Source:ZFIN;Acc:ZDB-GENE-050208-794]	22
ENSDARG00000096613	3162423	3166168	-1	si:ch73-212j7.3	protein_coding	si:ch73-212j7.3 [Source:ZFIN;Acc:ZDB-GENE-081104-259]	20
ENSDARG00000097946	2126816	2131461	-1	CR354430.3	lincRNA	si:ch211-218p2.3 [Source:NCBI gene;Acc:101886352]	25
ENSDARG00000012625	28252520	28381437	-1	prkag2a	protein_coding	protein kinase, AMP-activated, gamma 2 non-catalytic subunit a [Source:ZFIN;Acc:ZDB-GENE-060929-160]	24
ENSDARG00000057568	19008168	19011040	1	nefla	protein_coding	neurofilament, light polypeptide a [Source:ZFIN;Acc:ZDB-GENE-091117-1]	21
ENSDARG00000030872	17611627	17621826	1	cetp	protein_coding	cholesteryl ester transfer protein, plasma [Source:ZFIN;Acc:ZDB-GENE-041114-54]	18
ENSDARG00000076414	46939391	47088528	1	espn	protein_coding	espin [Source:ZFIN;Acc:ZDB-GENE-081105-173]	8
ENSDARG00000079992	36848786	36860988	-1	senp6b	protein_coding	SUMO specific peptidase 6b [Source:ZFIN;Acc:ZDB-GENE-030131-6330]	17
ENSDARG00000112941	12285285	12288484	1	pimr174	protein_coding	Pim proto-oncogene, serine/threonine kinase, related 174 [Source:ZFIN;Acc:ZDB-GENE-131120-37]	17
ENSDARG00000032614	30424645	30832897	-1	msi2b	protein_coding	musashi RNA-binding protein 2b [Source:ZFIN;Acc:ZDB-GENE-040426-1268]	15
ENSDARG00000070981	9032073	9087619	1	ash1l	protein_coding	ash1 (absent, small, or homeotic)-like (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-030131-6101]	19
ENSDARG00000045788	9207722	9214288	-1	avpr1ab	protein_coding	arginine vasopressin receptor 1Ab [Source:ZFIN;Acc:ZDB-GENE-041210-105]	4
ENSDARG00000097473	46162204	46168215	1	zgc:113340	protein_coding	zgc:113340 [Source:ZFIN;Acc:ZDB-GENE-050327-34]	18
ENSDARG00000060805	36794438	36829025	-1	map1sa	protein_coding	microtubule-associated protein 1Sa [Source:ZFIN;Acc:ZDB-GENE-030131-3982]	22
ENSDARG00000097490	26783926	26801744	-1	AL928908.2	antisense		17
ENSDARG00000076239	8890366	8961941	-1	si:ch211-74f19.2	protein_coding	si:ch211-74f19.2 [Source:ZFIN;Acc:ZDB-GENE-160114-78]	7
ENSDARG00000099084	55327909	55354004	-1	pcif1	protein_coding	PDX1 C-terminal inhibiting factor 1 [Source:ZFIN;Acc:ZDB-GENE-120920-2]	6
ENSDARG00000061764	26759332	26796334	1	ahnak	protein_coding	AHNAK nucleoprotein [Source:ZFIN;Acc:ZDB-GENE-030131-8719]	14
ENSDARG00000019842	10252052	10295173	-1	cnot3b	protein_coding	CCR4-NOT transcription complex, subunit 3b [Source:ZFIN;Acc:ZDB-GENE-030131-5838]	19
ENSDARG00000053526	32413524	32421046	-1	enpp7.1	protein_coding	ectonucleotide pyrophosphatase/phosphodiesterase 7, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-040724-13]	12
ENSDARG00000075249	21280658	21348478	-1	fam171a2a	protein_coding	family with sequence similarity 171 member A2a [Source:ZFIN;Acc:ZDB-GENE-110606-5]	3
ENSDARG00000068156	58720601	58729894	-1	chchd7	protein_coding	coiled-coil-helix-coiled-coil-helix domain containing 7 [Source:ZFIN;Acc:ZDB-GENE-080204-55]	7
ENSDARG00000099621	32071775	32089117	-1	si:ch211-69b22.5	protein_coding	si:ch211-69b22.5 [Source:ZFIN;Acc:ZDB-GENE-141216-348]	14
ENSDARG00000063075	9400425	9492266	-1	soga1	protein_coding	suppressor of glucose, autophagy associated 1 [Source:ZFIN;Acc:ZDB-GENE-090313-188]	23
ENSDARG00000091726	2807136	2838190	1	aebp1	protein_coding	AE binding protein 1 [Source:ZFIN;Acc:ZDB-GENE-030131-2390]	10
ENSDARG00000070668	11911897	11946139	-1	cd4-1	protein_coding	CD4-1 molecule [Source:ZFIN;Acc:ZDB-GENE-100922-280]	16
ENSDARG00000088013	38427572	38433916	1	CYP27A1 (1 of many)	protein_coding	zgc:136333 [Source:ZFIN;Acc:ZDB-GENE-060616-143]	9
ENSDARG00000055554	27652906	27658054	1	wnt1	protein_coding	wingless-type MMTV integration site family, member 1 [Source:ZFIN;Acc:ZDB-GENE-980526-526]	23
ENSDARG00000019746	3054442	3077395	-1	rfng	protein_coding	RFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase [Source:ZFIN;Acc:ZDB-GENE-030131-5418]	12
ENSDARG00000097405	24448007	24450177	1	si:dkey-273g18.1	protein_coding	si:dkey-273g18.1 [Source:ZFIN;Acc:ZDB-GENE-060503-256]	20
ENSDARG00000075990	36888913	36934944	-1	acap3a	protein_coding	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3a [Source:ZFIN;Acc:ZDB-GENE-030131-1711]	23
ENSDARG00000028098	13503377	13505486	1	fut9d	protein_coding	fucosyltransferase 9d [Source:ZFIN;Acc:ZDB-GENE-050309-15]	8
ENSDARG00000088505	12155165	12158685	-1	fam217b	protein_coding	family with sequence similarity 217 member B [Source:ZFIN;Acc:ZDB-GENE-090313-236]	23
ENSDARG00000029952	25247245	25293690	1	ampd2b	protein_coding	adenosine monophosphate deaminase 2b [Source:ZFIN;Acc:ZDB-GENE-070713-5]	8
ENSDARG00000075735	7932973	7967428	1	cxxc5b	protein_coding	CXXC finger protein 5b [Source:ZFIN;Acc:ZDB-GENE-130225-1]	14
ENSDARG00000103992	34753619	34776147	-1	si:ch211-237a4.2	protein_coding	si:ch211-237a4.2 [Source:ZFIN;Acc:ZDB-GENE-060503-504]	4
ENSDARG00000090035	10765611	10946379	-1	rtn4r	protein_coding	reticulon 4 receptor [Source:ZFIN;Acc:ZDB-GENE-040310-1]	5
ENSDARG00000006666	22697059	22705347	1	si:dkeyp-69c1.6	protein_coding	si:dkeyp-69c1.6 [Source:ZFIN;Acc:ZDB-GENE-030131-6333]	21
ENSDARG00000094730	28596555	28599328	1	acbd7	protein_coding	acyl-CoA binding domain containing 7 [Source:ZFIN;Acc:ZDB-GENE-050913-108]	16
ENSDARG00000071501	27783946	27879182	-1	hs6st1b	protein_coding	heparan sulfate 6-O-sulfotransferase 1b [Source:ZFIN;Acc:ZDB-GENE-070103-2]	24
ENSDARG00000096919	10747294	10749804	1	CR790366.1	processed_transcript		5
ENSDARG00000069147	24068223	24075097	1	pex11b	protein_coding	peroxisomal biogenesis factor 11 beta [Source:ZFIN;Acc:ZDB-GENE-060825-289]	19
ENSDARG00000059177	6136220	6145158	1	tax1bp3	protein_coding	Tax1 (human T-cell leukemia virus type I) binding protein 3 [Source:ZFIN;Acc:ZDB-GENE-040426-2830]	11
ENSDARG00000004529	14277003	14332060	1	zgc:173742	protein_coding	zgc:173742 [Source:ZFIN;Acc:ZDB-GENE-030131-6489]	18
ENSDARG00000017794	58699718	58718472	1	sdr16c5b	protein_coding	short chain dehydrogenase/reductase family 16C, member 5b [Source:ZFIN;Acc:ZDB-GENE-040426-2861]	7
ENSDARG00000027822	6118362	6208067	-1	tmtops2b	protein_coding	teleost multiple tissue opsin 2b [Source:ZFIN;Acc:ZDB-GENE-110411-43]	9
ENSDARG00000012840	57743815	57763179	1	alg9	protein_coding	ALG9, alpha-1,2-mannosyltransferase [Source:ZFIN;Acc:ZDB-GENE-040426-1270]	5
ENSDARG00000116762	8221835	8269227	-1	pimr205	protein_coding	Pim proto-oncogene, serine/threonine kinase, related 205 [Source:ZFIN;Acc:ZDB-GENE-120215-5]	11
ENSDARG00000078312	46739693	46740881	1	pimr22	protein_coding	Pim proto-oncogene, serine/threonine kinase, related 22 [Source:ZFIN;Acc:ZDB-GENE-131120-85]	17
ENSDARG00000111753	35045803	35046114	-1	hist1h4l	protein_coding	histone 1, H4, like [Source:ZFIN;Acc:ZDB-GENE-070927-10]	25
ENSDARG00000096749	34825062	34827477	-1	NDUFAF8	protein_coding	si:dkey-21c1.6 [Source:ZFIN;Acc:ZDB-GENE-031118-158]	12
ENSDARG00000032976	64167620	64168415	-1	cmlc1	protein_coding	cardiac myosin light chain-1 [Source:ZFIN;Acc:ZDB-GENE-030522-1]	5
ENSDARG00000076512	44366972	44368824	-1	si:ch211-265g22.4	protein_coding	si:ch211-265g22.4 [Source:ZFIN;Acc:ZDB-GENE-070912-260]	2
ENSDARG00000076307	36397818	36412936	-1	si:zfos-2070c2.3	protein_coding	si:zfos-2070c2.3 [Source:ZFIN;Acc:ZDB-GENE-091204-413]	8
ENSDARG00000096615	58003615	58017364	1	BX469930.2	antisense		1
ENSDARG00000090785	31680513	32155212	1	diaph3	protein_coding	diaphanous-related formin 3 [Source:ZFIN;Acc:ZDB-GENE-040801-144]	11
ENSDARG00000098238	35263591	35299953	1	CR626866.1	lincRNA		14
ENSDARG00000030449	8973042	8980038	1	crabp2b	protein_coding	cellular retinoic acid binding protein 2, b [Source:ZFIN;Acc:ZDB-GENE-050208-52]	19
ENSDARG00000003854	937194	970853	-1	acsl1b	protein_coding	acyl-CoA synthetase long chain family member 1b [Source:ZFIN;Acc:ZDB-GENE-040801-88]	14
ENSDARG00000017320	29831195	29848772	1	f11r.1	protein_coding	F11 receptor, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-030131-2416]	5
ENSDARG00000097176	27117768	27118361	-1	BX927308.2	processed_transcript		22
ENSDARG00000002369	42064144	42068490	1	UBB	protein_coding	si:ch211-202a12.4 [Source:ZFIN;Acc:ZDB-GENE-030131-8486]	5
ENSDARG00000055751	36769758	36774965	1	fosb	protein_coding	FBJ murine osteosarcoma viral oncogene homolog B [Source:ZFIN;Acc:ZDB-GENE-041114-181]	18
ENSDARG00000097252	1464379	1471185	-1	CR354429.1	lincRNA		25
ENSDARG00000059263	1981882	1986014	-1	hoxd12a	protein_coding	homeobox D12a [Source:ZFIN;Acc:ZDB-GENE-990415-118]	9
